Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,,
Ca I ,364.441,3.55E+07,42 747.387 ,3,,,,,,,,,,,,,,,
Ca I ,364.477,9.40E+06,42 744.716 ,2,,,,,,,,,,,,,,,
Ca I ,364.499,9.50E+05,42 743.002 ,1,,,,,,,,,,,,,,,
Ca VI , , ,27 246.6+x , 5/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,366.932, ,350 900.04  ,2,,,,,,,,,,,,,,,
Ca I , ,2.20E+06,47 550.214 ,2,,,,,,,,,,,,,,,
Ca I ,367.529,2.20E+06,47 550.271 ,3,,,,,,,,,,,,,,,
Ca I , ,3.80E+05,47 550.214 ,2,,,,,,,,,,,,,,,
Ca I ,367.821,2.30E+06,47 550.371 ,4,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I , ,2.60E+05,47 550.271 ,3,,,,,,,,,,,,,,,
Ca I , ,1.00E+04,47 550.214 ,2,,,,,,,,,,,,,,,
Ca II ,368.37, , ,  ,,,,,,,,,,,,,,,
Ca VII , ,4.40E+00,48 981.4   ,0,,,,,,,,,,,,,,,
Ca III ,369.0878, ,350 741.19  ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,369.411, , ,  ,,,,,,,,,,,,,,,
Ca II ,369.436, , ,  ,,,,,,,,,,,,,,,
Ca II ,370.603,8.80E+07,52 166.93  , 1/2 ,,,,,,,,,,,,,,,
Ca VI , , ,26 835.1+x , 3/2 ,,,,,,,,,,,,,,,
Ca II ,373.69,1.70E+08,52 166.93  , 1/2 ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,373.938, , ,  ,,,,,,,,,,,,,,,
Ca I ,374.835,3.40E+06,47 006.194 ,2,,,,,,,,,,,,,,,
Ca I ,375.029,3.40E+06,47 006.280 ,3,,,,,,,,,,,,,,,
Ca I , ,6.20E+05,47 006.194 ,2,,,,,,,,,,,,,,,
Ca I ,375.334,4.10E+06,47 006.400 ,4,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I , ,4.40E+05,47 006.280 ,3,,,,,,,,,,,,,,,
Ca I , ,1.70E+04,47 006.194 ,2,,,,,,,,,,,,,,,
Ca II ,375.567, , ,  ,,,,,,,,,,,,,,,
Ca II ,375.839, , ,  ,,,,,,,,,,,,,,,
Ca III ,376.1608,8.30E+06,272 188.70  ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca III ,381.002, ,350 900.04  ,2,,,,,,,,,,,,,,,
Ca III ,382.3759, ,350 805.32  ,4,,,,,,,,,,,,,,,
Ca III ,383.3189, ,350 741.19  ,3,,,,,,,,,,,,,,,
Ca I ,387.048,7.20E+06,46 164.644 ,2,,,,,,,,,,,,,,,
Ca I ,387.254,5.40E+06,46 164.785 ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,387.256,9.80E+05,46 164.644 ,2,,,,,,,,,,,,,,,
Ca I ,387.578,7.90E+06,46 164.971 ,4,,,,,,,,,,,,,,,
Ca I ,387.58,8.90E+05,46 164.785 ,3,,,,,,,,,,,,,,,
Ca I , ,3.50E+04,46 164.644 ,2,,,,,,,,,,,,,,,
Ca I ,388.91, , ,  ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
