Ion, Observed , Aki, Ek ,J
Fe II ,305.7584, ,104 739.057  , 5/2 
Fe I ,305.7718, ,53 733.594  ,3
Fe I ,305.77882, ,40 421.938  ,4
Fe I ,305.7957, ,58 592.074  ,4
Fe I ,305.8038, ,58 591.206  ,5
 , , , , 
Fe I ,305.8078, ,60 085.504  ,2
Fe I ,305.8362, ,53 328.835  ,4
Fe II ,305.8363,2.10E+06,99 688.355  , 7/2 
Fe I ,305.84912, ,58 792.255  ,7
Fe II ,305.8715,1.50E+06,105 775.517  , 7/2 
 , , , , 
Fe I ,305.90856,1.63E+07,33 095.941  ,4
Fe III ,305.9368, ,199 884.29   ,5
Fe I ,305.953, ,59 154.662  ,1
Fe II ,305.9865,1.00E+06,105 763.286  , 11/2 
Fe II ,306.0005, ,65 580.065  , 11/2 
 , , , , 
Fe III ,306.0013, ,151 538.07   ,0
Fe III ,306.0159, ,151 536.85   ,1
Fe I ,306.05376,6.75E+06,56 783.322  ,3
Fe I ,306.0626, ,56 844.475  ,4
Fe III , ,1.70E-01,57 221.20   ,4
 , , , , 
Fe I ,306.07764, ,56 842.811  ,2
Fe I ,306.09831,9.08E+05,45 220.681  ,3
Fe I ,306.1107, ,56 777.262  ,3
Fe I ,306.1162, ,53 696.867  ,1
Fe II ,306.1271,1.80E+06,105 086.265  , 1/2 
 , , , , 
Fe II ,306.1631, ,64 040.891  , 7/2 
Fe I ,306.1969, ,59 523.88   ,5
Fe II ,306.2103,1.90E+07,99 921.670  , 1/2 
Fe I ,306.2164, ,56 766.053  ,3
Fe II ,306.22353, ,86 929.664  , 7/2 
 , , , , 
Fe II ,306.22353,1.40E+07,65 556.271  , 9/2 
Fe II ,306.2647, ,106 279.329  , 5/2 
Fe I ,306.2826, ,58 979.823  ,2
Fe I ,306.2873, ,56 423.283  ,4
Fe I ,306.3151, ,50 186.834  ,2
 , , , , 
Fe II ,306.3699, ,103 617.577  , 13/2 
Fe I ,306.39292, ,52 180.820  ,1
Fe I ,306.402, ,56 808.267  ,4
Fe I ,306.4695, ,58 520.163  ,4
Fe I ,306.4837, ,60 178.254  ,1
 , , , , 
Fe III ,306.5023, ,199 702.21   ,3
Fe II ,306.5211,1.20E+06,105 234.246  , 5/2 
Fe II ,306.5211, ,105 630.764  , 5/2 
Fe II ,306.53149,2.90E+06,64 425.405  , 5/2 
Fe II ,306.5967,2.70E+05,104 868.522  , 9/2 
 , , , , 
Fe I ,306.64787,9.11E+06,54 600.350  ,3
Fe I ,306.6486, ,59 475.63   ,4
Fe I ,306.6689, ,56 382.662  ,5
Fe I ,306.6812, ,59 077.084  ,1
Fe III ,306.6817, ,199 805.04   ,4
 , , , , 
Fe I ,306.69968,1.71E+07,58 946.732  ,6
Fe XXV , ,1.90E+07,(66 907 571)     ,1
Fe I ,306.71181,3.89E+06,45 562.974  ,3
Fe I ,306.72437,3.12E+07,39 969.853  ,3
Fe II ,306.783,8.00E+05,105 238.815  , 5/2 
 , , , , 
Fe I ,306.7948, ,54 301.340  ,4
Fe III ,306.803, ,199 884.29   ,5
Fe I ,306.81733,1.11E+07,45 551.767  ,1
Fe I ,306.8301, ,58 481.855  ,3
Fe I ,306.8451, ,58 480.308  ,3
 , , , , 
Fe I ,306.8726, ,57 084.281  ,3
Fe II ,306.8753,4.30E+05,66 078.272  , 5/2 
Fe I ,306.894, ,44 551.335  ,3
Fe I ,306.9332, ,57 077.843  ,1
Fe I ,306.944, ,58 710.047  ,3
 , , , , 
Fe III ,306.9647, ,116 937.86   ,1
Fe II ,306.9939,1.50E+06,104 916.552  , 9/2 
Fe I ,307.0033, ,57 070.371  ,3
Fe III ,307.0091, ,122 346.75   ,3
Fe I ,307.0226, ,54 810.856  ,4
 , , , , 
Fe I ,307.054, ,52 110.601  ,1
Fe II ,307.058, ,64 040.891  , 7/2 
Fe II ,307.0694,9.00E+05,62 945.045  , 7/2 
Fe I ,307.0694, ,59 035.762  ,2
Fe I ,307.0785, ,58 961.996  ,2
 , , , , 
Fe II ,307.11248,2.60E+07,80 178.005  , 3/2 
Fe I ,307.11249, ,59 718.724  ,5
Fe I ,307.1277, ,56 333.960  ,6
Fe II ,307.1277,1.30E+06,99 824.051  , 5/2 
Fe I ,307.1428, ,57 055.616  ,3
 , , , , 
Fe V , ,6.00E-01,62 364.3    ,3
Fe II ,307.1658, ,66 012.775  , 9/2 
Fe II ,307.1679,2.20E+06,99 068.465  , 3/2 
Fe I ,307.1679, ,56 726.892  ,3
Fe II ,307.1727,3.20E+06,104 807.215  , 9/2 
 , , , , 
Fe XII ,307.2,7.21E+01,74 109      , 1/2 
Fe XII , ,8.30E-01,74 109      , 1/2 
Fe I ,307.2046, ,58 682.322  ,3
Fe I ,307.2293, ,56 720.409  ,2
Fe I ,307.2487, ,60 097.024  ,3
 , , , , 
Fe I ,307.3235, ,57 104.217  ,5
Fe I ,307.3871, ,56 858.653  ,2
Fe I ,307.39783,3.83E+06,54 237.415  ,4
Fe I ,307.41479, ,56 858.653  ,2
Fe II ,307.44367, ,104 481.606  , 7/2 
 , , , , 
Fe I ,307.4693, ,53 388.637  ,4
Fe II ,307.4694,3.10E+05,98 445.410  , 9/2 
Fe II ,307.505,3.20E+06,102 824.994  , 9/2 
Fe II ,307.5223, ,63 272.981  , 5/2 
Fe II ,307.5254, ,105 127.773  , 5/2 
 , , , , 
Fe V , ,1.10E+00,62 321.1    ,2
Fe II ,307.56744,2.70E+05,104 765.459  , 11/2 
Fe II ,307.5701, ,105 123.005  , 7/2 
Fe I ,307.57194,3.14E+07,40 231.336  ,2
Fe II ,307.5856, ,91 167.936  , 7/2 
 , , , , 
Fe II ,307.5988, ,104 739.057  , 5/2 
Fe I ,307.5996, ,58 979.823  ,2
Fe II ,307.5996, ,111 939.932  , 9/2 
Fe I ,307.6277, ,57 004.359  ,1
Fe II ,307.64351,3.80E+07,79 885.523  , 5/2 
 , , , , 
Fe I ,307.6759, ,56 673.145  ,4
Fe II ,307.6854, ,100 492.025  , 7/2 
Fe I ,307.7013, ,57 064.346  ,4
Fe II ,307.71688,1.40E+07,65 363.607  , 11/2 
Fe I ,307.7548, ,59 878.64   ,4
 , , , , 
Fe I ,307.76357, ,53 357.515  ,3
Fe II ,307.788, ,86 543.902  , 3/2 
Fe I ,307.80155,3.11E+05,40 207.091  ,3
Fe II ,307.8326,3.10E+06,105 127.773  , 5/2 
Fe II ,307.8326, ,110 660.690  , 9/2 
 , , , , 
Fe I ,307.8354, ,60 035.04   ,2
Fe I ,307.8432,1.52E+07,52 512.457  ,1
Fe I ,307.8502, ,56 592.703  ,4
Fe II ,307.868001,5.60E+07,79 439.496  , 7/2 
Fe II ,307.9357, ,65 931.358  , 7/2 
 , , , , 
Fe I ,307.9609, ,60 128.60   ,2
Fe I ,307.9833, ,50 186.834  ,2
Fe II ,307.99882, ,92 899.306  , 5/2 
Fe I ,307.99883,8.35E+06,59 085.827  ,5
Fe I ,308.01083, ,54 706.387  ,2
 , , , , 
Fe I ,308.0356, ,53 328.835  ,4
Fe II ,308.0418,2.20E+05,65 363.607  , 11/2 
Fe I ,308.059, ,58 592.074  ,4
Fe II ,308.0756, ,108 365.344  , 7/2 
Fe I ,308.0879, ,59 843.564  ,2
 , , , , 
Fe I ,308.10012, ,56 783.322  ,3
Fe I ,308.1223, ,56 952.213  ,2
Fe I ,308.1292, ,56 783.322  ,3
Fe II ,308.1293, ,99 057.089  , 1/2 
Fe I ,308.17, ,59 999.79   ,1
 , , , , 
Fe I ,308.1831, ,44 415.074  ,4
Fe II ,308.2666, ,65 931.358  , 7/2 
Fe II ,308.3025,6.00E+05,64 425.405  , 5/2 
Fe I ,308.3057, ,56 764.767  ,4
Fe I ,308.3057, ,59 820.664  ,3
 , , , , 
Fe II ,308.315, ,92 695.398  , 5/2 
Fe I ,308.315, ,52 213.230  ,3
Fe I ,308.349, ,58 321.383  ,4
Fe V , ,5.80E-02,62 238.0    ,4
Fe I ,308.37407,3.08E+07,40 404.518  ,1
 , , , , 
Fe III ,308.407, ,122 898.90   ,2
Fe I ,308.5291, ,56 113.887  ,5
Fe II ,308.5734, ,97 507.414  , 5/2 
Fe I ,308.6524, ,59 556.32   ,5
Fe I ,308.7434, ,58 520.163  ,4
 , , , , 
Fe I ,308.8171, ,58 512.387  ,2
Fe I ,308.82143, ,59 538.594  ,3
Fe I ,308.8244, ,58 271.462  ,5
Fe I ,308.8346, ,58 710.047  ,3
Fe I ,308.8761, ,59 532.84   ,4
 , , , , 
Fe II ,308.9283,3.00E+06,104 622.308  , 13/2 
Fe II ,308.9391,2.20E+06,70 523.694  , 7/2 
Fe I ,308.95, ,54 357.405  ,3
Fe I ,308.9623, ,59 523.88   ,5
Fe I ,309.02046,2.38E+06,54 600.350  ,3
 , , , , 
Fe I ,309.0728, ,58 824.845  ,2
Fe III ,309.0754, ,121 008.91   ,3
Fe I ,309.1002, ,58 682.322  ,3
Fe I ,309.109, ,58 481.855  ,3
Fe I ,309.1419, ,58 961.996  ,2
 , , , , 
Fe I ,309.15763,5.53E+07,40 491.284  ,0
Fe III ,309.163, ,115 474.52   ,6
Fe I ,309.1688, ,56 516.218  ,4
Fe I ,309.1875, ,59 999.79   ,1
Fe I ,309.2079, ,59 725.904  ,4
 , , , , 
Fe II ,309.229, ,105 518.142  , 3/2 
Fe I ,309.2482, ,59 886.70   ,3
Fe I ,309.27815,8.40E+04,40 052.035  ,2
Fe I ,309.331, ,53 357.515  ,3
Fe I ,309.3529, ,50 043.213  ,1
 , , , , 
Fe I ,309.38049,1.28E+06,45 281.833  ,2
Fe I ,309.38775, ,52 953.629  ,4
Fe I ,309.4291, ,59 182.72   ,5
Fe III ,309.4303, ,116 467.59   ,4
Fe II ,309.4619, ,111 744.362  , 7/2 
 , , , , 
Fe II ,309.4743, ,104 828.163  , 5/2 
Fe III ,309.4761, ,116 975.21   ,2
Fe I ,309.4871, ,54 301.340  ,4
Fe I ,309.4871, ,59 968.52   ,1
Fe I ,309.48995, ,54 017.581  ,4
 , , , , 
Fe I ,309.5216, ,56 479.463  ,2
Fe I ,309.5266, ,58 197.914  ,4
Fe I ,309.52667,1.93E+06,54 013.752  ,5
Fe I ,309.6045, ,54 289.034  ,3
Fe II ,309.62938,1.90E+06,64 286.354  , 7/2 
 , , , , 
Fe I ,309.6615, ,59 843.564  ,2
Fe II ,309.6799,4.20E+05,98 294.909  , 11/2 
Fe III ,309.682, ,138 187.96   ,3
Fe I ,309.68762, ,54 530.653  ,2
Fe I ,309.6877, ,56 462.016  ,3
 , , , , 
Fe III ,309.6971, ,125 673.05   ,2
Fe I ,309.6975, ,58 759.579  ,1
Fe II ,309.7342, ,122 166.779  , 9/2 
Fe II ,309.7417, ,64 087.408  , 5/2 
Fe I ,309.7493, ,51 837.238  ,3
 , , , , 
Fe II ,309.7494, ,105 291.014  , 7/2 
Fe I ,309.7779, ,59 146.37   ,6
Fe I ,309.7959, ,59 664.704  ,4
Fe I ,309.81891,7.52E+06,53 983.293  ,5
Fe II ,309.8351,3.10E+06,104 916.552  , 9/2 
 , , , , 
Fe II ,309.8466,1.70E+06,104 916.552  , 9/2 
Fe I ,309.8548, ,56 382.662  ,5
Fe II ,309.8599, ,92 647.591  , 3/2 
Fe II ,309.8677, ,105 317.400  , 3/2 
Fe II ,309.8933,4.10E+05,106 866.770  , 5/2 
 , , , , 
Fe I ,309.897, ,50 186.834  ,2
Fe I ,309.8998, ,59 133.61   ,4
Fe III ,309.901, ,125 673.05   ,2
Fe III ,309.901, ,138 187.96   ,3
Fe I ,309.9122, ,52 898.998  ,5
 , , , , 
Fe I ,309.9385, ,49 805.257  ,3
Fe II ,309.9412, ,122 297.664  , 7/2 
Fe I ,309.9501, ,56 592.703  ,4
Fe I ,309.967, ,59 126.75   ,5
Fe I ,309.967, ,45 220.681  ,3
 , , , , 
Fe I ,309.98943,1.93E+07,40 404.518  ,1
Fe I ,309.99679,8.23E+06,39 625.804  ,4
Fe II ,310.0103, ,122 315.037  , 11/2 
Fe I ,310.03033,1.87E+07,40 231.336  ,2
Fe III ,310.047, ,121 941.47   ,4
 , , , , 
Fe II ,310.0502, ,104 863.080  , 3/2 
Fe I ,310.06647,1.35E+07,39 969.853  ,3
Fe I ,310.0836,2.73E+06,51 630.178  ,5
Fe I ,310.10022,5.53E+06,54 237.415  ,4
Fe II ,310.1555, ,104 757.143  , 1/2 
 , , , , 
Fe I ,310.15999, ,58 132.081  ,3
Fe II ,310.1845, ,65 696.053  , 9/2 
Fe II ,310.1885,9.10E+05,64 040.891  , 7/2 
Fe I ,310.2259, ,50 152.619  ,1
Fe III ,310.2548, ,121 919.84   ,3
 , , , , 
Fe II ,310.26365, ,104 873.232  , 7/2 
Fe I ,310.26365,3.00E+04,40 207.091  ,3
Fe II ,310.2713,2.20E+06,104 839.990  , 3/2 
Fe I ,310.2763, ,56 726.892  ,3
Fe I ,310.2869, ,58 118.875  ,4
 , , , , 
Fe II ,310.2957, ,105 234.246  , 5/2 
Fe V , ,6.30E-01,62 364.3    ,3
Fe II ,310.3266, ,89 625.951  , 3/2 
Fe I ,310.3768, ,51 762.076  ,2
Fe I ,310.38522, ,50 586.878  ,3
 , , , , 
Fe I ,310.38522, ,56 783.322  ,3
Fe I ,310.3981, ,59 766.92   ,1
Fe II ,310.4168, ,111 644.798  , 9/2 
Fe II ,310.51675,7.50E+06,63 559.498  , 1/2 
Fe II ,310.5554,7.00E+06,63 559.498  , 1/2 
 , , , , 
Fe I ,310.5556, ,53 229.941  ,1
Fe I ,310.5658, ,44 166.206  ,3
Fe II ,310.6246, ,105 238.815  , 5/2 
Fe I ,310.6512, ,58 321.383  ,4
Fe I ,310.6539, ,51 969.101  ,3
 , , , , 
Fe II ,310.65649,1.88E+06,62 945.045  , 7/2 
Fe II ,310.6983,6.00E+05,104 828.163  , 5/2 
Fe V , ,3.10E-01,62 321.1    ,2
Fe I ,310.7332, ,58 512.387  ,2
Fe I ,310.7623, ,59 729.17   ,1
 , , , , 
Fe I ,310.7976, ,53 881.806  ,4
Fe I ,310.7976, ,52 807.001  ,5
Fe III ,310.7977, ,121 949.78   ,5
Fe III ,310.885, ,116 316.85   ,5
Fe II ,310.8891, ,104 807.215  , 9/2 
 , , , , 
Fe I ,310.8917, ,56 337.126  ,3
Fe I ,310.8957, ,51 708.307  ,2
Fe II ,310.9624, ,90 780.623  , 7/2 
Fe III ,311.0074, ,122 628.53   ,2
Fe I ,311.01948, ,52 180.820  ,1
 , , , , 
Fe I ,311.02757, ,58 481.855  ,3
Fe I ,311.0663, ,59 532.84   ,4
Fe I ,311.08358, ,53 852.114  ,4
Fe III ,311.088, ,121 919.84   ,3
Fe I ,311.0928, ,54 134.655  ,3
 , , , , 
Fe III ,311.1616, ,115 290.31   ,5
Fe I ,311.16812, ,52 768.743  ,4
Fe I ,311.2077,5.24E+06,55 907.178  ,5
Fe II ,311.21854, ,110 609.548  , 3/2 
Fe I ,311.2238, ,55 905.536  ,4
 , , , , 
Fe I ,311.2836, ,50 043.213  ,1
Fe II ,311.3245,7.00E+05,105 127.773  , 5/2 
Fe I ,311.3433, ,58 334.613  ,4
Fe I ,311.35879, ,54 357.405  ,3
Fe I ,311.3666, ,52 019.669  ,1
 , , , , 
Fe I ,311.3822, ,58 330.568  ,2
Fe III ,311.3839, ,116 475.56   ,3
Fe I ,311.4065, ,44 664.075  ,2
Fe II ,311.4122, ,84 685.245  , 7/2 
Fe II ,311.42954,6.40E+06,63 465.134  , 3/2 
 , , , , 
Fe I ,311.4296, ,59 766.92   ,1
Fe II ,311.46833,2.50E+06,63 465.134  , 3/2 
Fe I ,311.501, ,54 342.779  ,2
Fe V , ,5.00E-01,62 238.0    ,4
Fe II ,311.5356, ,65 556.271  , 9/2 
 , , , , 
Fe II ,311.5493, ,64 087.408  , 5/2 
Fe II ,311.5615,2.20E+06,104 739.057  , 5/2 
Fe I ,311.5657, ,56 858.653  ,2
Fe I ,311.5858, ,59 251.39   ,3
Fe I ,311.587, ,56 423.283  ,4
 , , , , 
Fe I ,311.6192, ,50 008.522  ,2
Fe I ,311.628, ,51 837.238  ,3
Fe I ,311.6393, ,52 953.629  ,4
Fe III , ,1.70E-01,57 221.20   ,4
Fe I ,311.6474, ,49 805.257  ,3
 , , , , 
Fe II ,311.65802,5.50E+06,63 465.134  , 3/2 
Fe I ,311.66313,3.04E+06,40 231.336  ,2
Fe I ,311.6997, ,58 213.124  ,2
Fe I ,311.7412, ,59 235.48   ,4
Fe II ,311.7475,9.00E+06,99 068.465  , 3/2 
 , , , , 
Fe I ,311.76398,4.30E+04,40 052.035  ,2
Fe I ,311.7977, ,59 729.17   ,1
Fe I ,311.8164, ,55 305.627  ,1
Fe III ,311.826, ,151 757.82   ,2
Fe II ,311.8298,2.50E+06,92 329.905  , 5/2 
 , , , , 
Fe II ,311.8741, ,65 556.271  , 9/2 
Fe III ,311.8754, ,125 443.72   ,4
Fe II ,311.8858,1.30E+06,104 315.373  , 13/2 
Fe II ,311.8881, ,104 705.411  , 7/2 
Fe I ,311.9038, ,54 301.340  ,4
 , , , , 
Fe I ,311.9181, ,59 217.204  ,3
Fe III ,311.9259, ,116 419.72   ,2
Fe I ,311.94947,8.28E+06,51 668.186  ,4
Fe I ,311.95812, ,44 022.525  ,4
Fe I ,312.0018, ,52 916.295  ,2
 , , , , 
Fe II ,312.0019, ,64 040.891  , 7/2 
Fe III ,312.003, ,121 949.78   ,5
Fe I ,312.0232, ,54 289.034  ,3
Fe I ,312.04351,7.26E+06,51 825.773  ,3
Fe III ,312.0862, ,121 941.47   ,4
 , , , , 
Fe I ,312.08752, ,58 512.387  ,2
Fe I ,312.149, ,56 207.552  ,4
Fe I ,312.1777, ,58 363.424  ,1
Fe I ,312.22945, ,54 017.581  ,4
Fe I ,312.2324, ,56 592.703  ,4
 , , , , 
Fe I ,312.2536, ,59 182.72   ,5
Fe I ,312.2667, ,54 013.752  ,5
Fe II ,312.3048, ,105 065.627  , 7/2 
Fe I ,312.3129, ,59 569.374  ,2
Fe III ,312.3152, ,116 380.24   ,1
 , , , , 
Fe I ,312.3199, ,51 630.178  ,5
Fe I ,312.3264, ,49 558.734  ,4
Fe I ,312.335, ,51 570.097  ,3
Fe I ,312.3551, ,54 004.718  ,3
Fe II ,312.3725,2.40E+06,92 274.123  , 5/2 
 , , , , 
Fe IX ,312.4, ,465 828.4    ,3
Fe I ,312.4093, ,52 019.669  ,1
Fe II , ,5.50E-04,31 999.049  , 7/2 
Fe I ,312.4886, ,58 132.081  ,3
Fe I ,312.5037, ,44 551.335  ,3
 , , , , 
Fe I ,312.5269, ,54 237.415  ,4
Fe I ,312.5646, ,53 983.293  ,5
Fe I ,312.5646, ,51 334.911  ,4
Fe I ,312.56503,2.12E+06,39 969.853  ,3
Fe I ,312.56823,8.46E+06,51 373.910  ,5
 , , , , 
Fe I ,312.5694, ,58 334.613  ,4
Fe II ,312.5863,1.00E+06,98 445.410  , 9/2 
Fe I ,312.61763, ,58 118.875  ,4
Fe V , ,9.50E-02,93 832.5    ,2
Fe II ,312.6275,1.70E+06,104 993.879  , 7/2 
 , , , , 
Fe II ,312.6275,5.00E+05,104 107.939  , 7/2 
Fe II ,312.6696, ,116 333.201  , 1/2 
Fe I ,312.6754, ,58 600.344  ,3
Fe I ,312.6837, ,52 613.090  ,5
Fe I ,312.7125, ,54 807.250  ,1
 , , , , 
Fe II ,312.8239, ,113 692.411  , 9/2 
Fe I ,312.88978, ,44 511.812  ,2
Fe II ,312.9012,1.40E+05,63 948.803  , 9/2 
Fe II ,312.9012, ,104 569.226  , 5/2 
Fe I ,312.93329,9.05E+05,43 922.668  ,3
 , , , , 
Fe I ,312.9801, ,55 134.168  ,2
Fe II ,312.9998, ,113 674.493  , 5/2 
Fe I ,313.0205, ,58 812.015  ,5
Fe V , ,2.90E-01,62 364.3    ,3
Fe II ,313.0565, ,62 322.445  , 7/2 
 , , , , 
Fe III ,313.0858, ,125 443.72   ,4
Fe II ,313.1105,1.00E+07,110 065.766  , 5/2 
Fe I ,313.1235, ,49 477.127  ,3
Fe II ,313.1392, ,62 689.874  , 5/2 
Fe I ,313.1455, ,51 837.238  ,3
 , , , , 
Fe II ,313.1721,7.00E+05,64 831.951  , 9/2 
Fe II ,313.2061, ,110 609.548  , 3/2 
Fe I ,313.25177,3.39E+07,57 813.942  ,3
Fe I ,313.2649, ,58 018.561  ,5
Fe II ,313.3048,1.50E+06,63 272.981  , 5/2 
 , , , , 
Fe I ,313.317, ,58 132.249  ,2
Fe II ,313.3758,5.00E+05,92 171.690  , 9/2 
Fe II ,313.3963, ,114 877.996  , 9/2 
Fe I ,313.3963, ,51 461.670  ,4
Fe I ,313.41098,7.86E+05,39 625.804  ,4
 , , , , 
Fe II ,313.4228,9.00E+06,98 568.907  , 7/2 
Fe I ,313.4248, ,58 520.003  ,1
Fe I ,313.4412, ,53 610.412  ,4
Fe I ,313.4639, ,53 891.526  ,3
Fe I ,313.4934, ,55 134.168  ,2
 , , , , 
Fe II ,313.4986,7.00E+05,92 329.905  , 5/2 
Fe II ,313.536222,9.00E+06,63 272.981  , 5/2 
Fe I ,313.54571, ,58 363.424  ,1
Fe II ,313.5538,8.00E+05,98 294.909  , 11/2 
Fe I ,313.55905, ,53 881.806  ,4
 , , , , 
Fe I ,313.58604,4.86E+05,51 668.186  ,4
Fe III ,313.642,1.50E+06,122 346.75   ,3
Fe III ,313.649, ,115 111.37   ,4
Fe I ,313.65006, ,58 213.124  ,2
Fe II ,313.6761,1.60E+06,110 008.310  , 9/2 
 , , , , 
Fe I ,313.6761, ,53 586.510  ,5
Fe I ,313.7021, ,54 864.831  ,3
Fe I ,313.7021, ,54 706.387  ,2
Fe II ,313.72361,1.00E+07,98 114.577  , 3/2 
Fe II ,313.7291, ,86 767.614  , 5/2 
 , , , , 
Fe I ,313.7781, ,54 807.250  ,1
Fe II ,313.8121, ,104 873.232  , 7/2 
Fe II ,313.81805,9.00E+06,98 445.410  , 9/2 
Fe II ,313.8306, ,104 507.058  , 5/2 
Fe I ,313.8398, ,44 415.074  ,4
 , , , , 
Fe I ,313.85142, ,53 852.114  ,4
Fe I ,313.9023, ,59 514.13   ,2
Fe I ,313.9605, ,51 630.178  ,5
Fe I ,313.96598, ,51 192.273  ,4
Fe I ,313.9918, ,53 837.851  ,3
 , , , , 
Fe II ,314.0069,8.00E+05,92 282.470  , 7/2 
Fe I ,314.03896, ,57 974.137  ,2
Fe II ,314.06457,9.00E+06,98 294.909  , 11/2 
Fe II ,314.0896,6.00E+05,92 274.123  , 5/2 
Fe I ,314.1512, ,59 217.204  ,3
 , , , , 
Fe I ,314.1886, ,52 857.804  ,1
Fe II ,314.2228, ,45 289.8248 , 3/2 
Fe I ,314.24537,3.93E+06,51 570.097  ,3
Fe I ,314.2456, ,58 363.424  ,1
Fe V ,314.25,1.10E+00,62 238.0    ,4
 , , , , 
Fe II ,314.2555, ,104 828.163  , 5/2 
Fe I ,314.28887,5.65E+06,50 186.834  ,2
Fe I ,314.2895, ,58 033.506  ,3
Fe I ,314.2944, ,56 382.662  ,5
Fe I ,314.32424,1.27E+04,31 805.071  ,3
 , , , , 
Fe III ,314.3386, ,116 475.56   ,3
Fe I ,314.39903,6.10E+07,57 697.493  ,4
Fe XXV , , ,(66 905 828)     ,1
Fe III ,314.418, ,119 697.69   ,2
Fe III ,314.418, ,116 467.59   ,4
 , , , , 
Fe II ,314.4271,1.30E+06,99 068.465  , 3/2 
Fe I ,314.4428, ,54 042.527  ,2
Fe I ,314.44965, ,58 132.081  ,3
Fe II ,314.4606, ,103 921.637  , 7/2 
Fe II ,314.47532,2.70E+06,63 272.981  , 5/2 
 , , , , 
Fe I ,314.4923, ,51 409.124  ,4
Fe I ,314.50568,4.65E+06,55 905.536  ,4
Fe I ,314.5165, ,53 784.750  ,3
Fe II ,314.528,1.00E+06,92 225.549  , 3/2 
Fe II ,314.5408, ,99 057.089  , 1/2 
 , , , , 
Fe II ,314.5408, ,62 171.624  , 7/2 
Fe II ,314.5699,2.80E+06,92 225.549  , 3/2 
Fe I ,314.627, ,57 999.461  ,2
Fe I ,314.6469, ,51 334.911  ,4
Fe I ,314.6604, ,58 394.864  ,1
 , , , , 
Fe II ,314.6604, ,92 216.391  , 3/2 
Fe II ,314.6755,5.00E+02,62 158.126  , 9/2 
Fe II ,314.6895, ,104 120.244  , 5/2 
Fe I ,314.6895, ,54 017.581  ,4
Fe I ,314.72911, ,53 763.280  ,3
 , , , , 
Fe I ,314.7601, ,57 660.953  ,5
Fe II ,314.76024, ,104 411.671  , 9/2 
Fe I ,314.7749, ,54 706.387  ,2
Fe I ,314.77946,7.59E+06,56 097.836  ,3
Fe I ,314.8165, ,54 004.718  ,3
 , , , , 
Fe II ,314.82059, ,90 386.533  , 9/2 
Fe I ,314.8314, ,54 864.831  ,3
Fe I ,314.84056, ,51 373.910  ,5
Fe I ,314.84652, ,51 103.191  ,5
Fe I ,314.86807, ,49 477.127  ,3
 , , , , 
Fe II ,314.8908, ,103 986.338  , 7/2 
Fe II ,314.9197,3.60E+05,103 983.496  , 7/2 
Fe I ,314.9495, ,55 525.562  ,5
Fe I ,314.9723, ,58 906.436  ,4
Fe I ,315.02, ,51 754.497  ,1
 , , , , 
Fe I ,315.024, ,53 733.594  ,3
Fe I ,315.03066, ,58 213.124  ,2
Fe II ,315.0517, ,90 397.873  , 7/2 
Fe I ,315.0759, ,60 549.116  ,5
Fe I ,315.1102, ,58 132.249  ,2
 , , , , 
Fe II ,315.1135, ,115 030.664  , 9/2 
Fe II ,315.18287,1.00E+07,98 130.136  , 13/2 
Fe I ,315.18653,1.37E+04,32 133.991  ,2
Fe I ,315.20043, ,58 591.206  ,5
Fe II ,315.211,1.90E+06,104 807.215  , 9/2 
 , , , , 
Fe II ,315.262,1.70E+06,106 208.574  , 5/2 
Fe II ,315.2665, ,109 571.639  , 7/2 
Fe II ,315.2819, ,89 119.452  , 5/2 
Fe I ,315.2968, ,58 334.613  ,4
Fe I ,315.3056, ,49 433.131  ,2
 , , , , 
Fe I ,315.3056, ,55 489.742  ,6
Fe I ,315.31995,7.91E+06,51 461.670  ,4
Fe I ,315.33134,2.63E+06,51 460.518  ,3
Fe I ,315.411, ,44 664.075  ,2
Fe II ,315.42011,2.06E+07,62 083.118  , 9/2 
 , , , , 
Fe I ,315.43849, ,49 242.886  ,3
Fe I ,315.44293, ,57 917.254  ,4
Fe I ,315.4433, ,54 530.653  ,2
Fe I ,315.44964,4.64E+06,51 604.103  ,3
Fe I ,315.5118, ,51 705.014  ,2
 , , , , 
Fe II ,315.5118, ,105 288.874  , 13/2 
Fe I ,315.52932, ,51 304.604  ,4
Fe I ,315.57956, ,51 068.718  ,5
Fe II ,315.5952,2.10E+05,62 065.528  , 7/2 
Fe II ,315.5952,1.10E+06,86 547.427  , 5/2 
 , , , , 
Fe II ,315.6072, ,104 863.080  , 3/2 
Fe I ,315.62736,6.36E+07,57 813.942  ,3
Fe I ,315.6421, ,54 864.831  ,3
Fe I ,315.64628, ,55 790.696  ,3
Fe I ,315.6894, ,58 018.561  ,5
 , , , , 
Fe I ,315.70359,1.26E+07,51 228.553  ,5
Fe I ,315.7143,1.81E+06,50 043.213  ,1
Fe I ,315.7204, ,58 831.230  ,3
Fe I ,315.7288, ,53 913.020  ,2
Fe I ,315.7409, ,55 446.008  ,4
 , , , , 
Fe I ,315.74511, ,53 661.079  ,3
Fe I ,315.78848, ,59 217.204  ,3
Fe I ,315.78848,1.61E+07,51 570.097  ,3
Fe I ,315.79871,2.25E+06,51 219.015  ,3
Fe III ,315.8143, ,137 561.18   ,1
 , , , , 
Fe I ,315.8213, ,51 566.802  ,1
Fe II ,315.8323, ,63 465.134  , 3/2 
