Wavelength (nm),Sum(calc),Al I (1.2e-1),Al II (2.2e-1),Al III (1.7e-5),Ti I (5.1e-2),Ti II (2.8e-1),Ti III (6.0e-4),Fe I (1.0e-1),Fe II (2.3e-1),Fe III (5.1e-5)
207.19,6.628e+1,,1.261e+1,1.952e-8,,,3.039e-18,,5.366e+1,8.994e-3
207.23,5.411e+1,,1.796e+1,2.599e-8,,,2.979e-18,,3.615e+1,4.677e-3
207.28,4.556e+1,,2.516e+1,3.349e-8,,,2.902e-18,,2.040e+1,1.962e-3
207.33,4.183e+1,,3.137e+1,3.842e-8,,,2.826e-18,,1.045e+1,8.926e-4
207.38,3.967e+1,,3.483e+1,3.925e-8,,,2.750e-18,,4.840e+0,7.589e-4
207.43,3.652e+1,,3.443e+1,3.569e-8,,,2.674e-18,,2.089e+0,1.556e-3
207.48,3.140e+1,,3.030e+1,2.890e-8,,,2.598e-18,,1.102e+0,4.045e-3
207.53,2.520e+1,,2.374e+1,2.083e-8,,,2.521e-18,,1.450e+0,9.944e-3
207.58,2.019e+1,,1.655e+1,1.337e-8,,,2.445e-18,,3.609e+0,2.201e-2
207.62,1.917e+1,,1.141e+1,8.626e-9,,,2.384e-18,,7.716e+0,3.831e-2
207.67,2.483e+1,,6.457e+0,4.492e-9,,,2.308e-18,,1.830e+1,6.906e-2
207.72,4.214e+1,,3.252e+0,2.083e-9,,,2.232e-18,,3.878e+1,1.109e-1
207.77,7.482e+1,,1.458e+0,8.598e-10,,,2.156e-18,,7.320e+1,1.588e-1
207.82,1.239e+2,,5.822e-1,3.160e-10,,,2.079e-18,,1.231e+2,2.024e-1
207.87,1.849e+2,,2.069e-1,1.034e-10,,,2.003e-18,,1.845e+2,2.299e-1
207.92,2.466e+2,,6.546e-2,3.013e-11,,,1.927e-18,,2.463e+2,2.326e-1
207.97,2.931e+2,,1.844e-2,7.817e-12,,,1.851e-18,,2.929e+2,2.097e-1
208.02,3.105e+2,,4.624e-3,1.806e-12,,,1.775e-18,,3.103e+2,1.684e-1
208.06,2.992e+2,,1.406e-3,5.189e-13,,,1.714e-18,,2.990e+2,1.301e-1
208.11,2.575e+2,,2.861e-4,1.280e-13,,,1.637e-18,,2.574e+2,8.530e-2
208.16,1.976e+2,,5.181e-5,2.073e-13,,,1.561e-18,,1.975e+2,5.044e-2
208.21,1.356e+2,,8.353e-6,1.032e-12,,,1.485e-18,,1.356e+2,2.770e-2
208.26,8.463e+1,,1.199e-6,4.948e-12,,,1.409e-18,,8.461e+1,1.531e-2
208.31,5.194e+1,,1.532e-7,2.120e-11,,,1.333e-18,,5.193e+1,9.913e-3
208.36,4.059e+1,,1.752e-8,8.098e-11,,,1.256e-18,,4.058e+1,8.264e-3
208.41,5.297e+1,,2.731e-9,2.759e-10,,,1.180e-18,,5.296e+1,8.053e-3
208.45,8.254e+1,,6.294e-9,6.773e-10,,,1.119e-18,,8.253e+1,8.019e-3
208.50,1.477e+2,,5.387e-8,1.878e-9,,,1.941e-17,,1.477e+2,7.690e-3
208.55,2.445e+2,,4.294e-7,4.643e-9,,,3.005e-16,,2.445e+2,7.027e-3
208.60,3.638e+2,,3.060e-6,1.024e-8,,,4.151e-15,,3.638e+2,6.270e-3
208.65,4.836e+2,,1.949e-5,2.014e-8,,,5.119e-14,,4.836e+2,5.698e-3
208.70,5.737e+2,,1.109e-4,3.538e-8,,,5.634e-13,,5.737e+2,5.509e-3
208.75,6.071e+2,,5.647e-4,5.556e-8,,,5.534e-12,,6.071e+2,5.806e-3
208.80,5.730e+2,,2.571e-3,7.820e-8,,,4.852e-11,,5.730e+2,6.617e-3
208.84,5.039e+2,,7.976e-3,9.541e-8,,,2.539e-10,,5.039e+2,7.597e-3
208.89,3.876e+2,,2.972e-2,1.126e-7,,,1.815e-9,,3.876e+2,9.070e-3
208.94,2.671e+2,,9.909e-2,1.236e-7,,,1.157e-8,,2.670e+2,1.048e-2
208.99,1.669e+2,,2.958e-1,1.311e-7,,,6.588e-8,,1.666e+2,1.136e-2
209.04,9.899e+1,,7.907e-1,1.405e-7,,,3.347e-7,,9.819e+1,1.135e-2
209.09,6.349e+1,,1.893e+0,1.568e-7,,,1.518e-6,,6.159e+1,1.034e-2
209.14,5.414e+1,,4.061e+0,1.802e-7,,,6.145e-6,,5.007e+1,8.553e-3
209.19,6.259e+1,,7.807e+0,2.043e-7,,,2.220e-5,,5.477e+1,6.437e-3
209.24,8.056e+1,,1.345e+1,2.190e-7,,,7.161e-5,,6.710e+1,4.450e-3
209.28,9.656e+1,,1.922e+1,2.181e-7,,,1.684e-4,,7.733e+1,3.181e-3
209.33,1.128e+2,,2.723e+1,1.986e-7,,,4.427e-4,,8.554e+1,2.157e-3
209.38,1.199e+2,,3.459e+1,1.625e-7,,,1.039e-3,,8.533e+1,1.852e-3
209.43,1.157e+2,,3.943e+1,1.191e-7,,,2.179e-3,,7.630e+1,2.365e-3
209.48,1.013e+2,,4.031e+1,7.794e-8,,,4.083e-3,,6.102e+1,3.825e-3
209.53,8.063e+1,,3.699e+1,4.555e-8,,,6.844e-3,,4.363e+1,6.309e-3
209.58,5.835e+1,,3.045e+1,2.375e-8,,,1.028e-2,,2.788e+1,9.684e-3
209.63,3.848e+1,,2.249e+1,1.105e-8,,,1.387e-2,,1.597e+1,1.346e-2
209.67,2.588e+1,,1.632e+1,5.520e-9,,,1.639e-2,,9.522e+0,1.622e-2
209.72,1.472e+1,,9.914e+0,2.092e-9,,,1.853e-2,,4.765e+0,1.854e-2
209.77,8.121e+0,,5.401e+0,7.070e-10,,,1.929e-2,,2.681e+0,1.898e-2
209.82,4.999e+0,,2.639e+0,2.132e-10,,,1.878e-2,,2.325e+0,1.737e-2
209.87,4.243e+0,,1.156e+0,5.735e-11,,,1.744e-2,,3.055e+0,1.422e-2
209.92,4.961e+0,,4.537e-1,1.376e-11,,,1.570e-2,,4.481e+0,1.041e-2
209.97,6.484e+0,,1.596e-1,2.946e-12,,,1.377e-2,,6.303e+0,6.808e-3
210.02,8.290e+0,,5.030e-2,5.627e-13,,,1.173e-2,,8.224e+0,3.982e-3
210.06,9.659e+0,,1.845e-2,1.379e-13,,,1.003e-2,,9.628e+0,2.393e-3
210.11,1.103e+1,,4.767e-3,2.144e-14,,,8.000e-3,,1.101e+1,1.147e-3
210.16,1.188e+1,,1.103e-3,2.974e-15,,,6.340e-3,,1.187e+1,4.984e-4
210.21,1.228e+1,,2.283e-4,3.681e-16,,,5.338e-3,,1.227e+1,2.091e-4
210.26,1.245e+1,,4.230e-5,4.064e-17,,,5.126e-3,,1.244e+1,1.152e-4
210.31,1.288e+1,,7.011e-6,4.003e-18,,,5.603e-3,,1.287e+1,1.346e-4
210.36,1.444e+1,,1.039e-6,3.517e-19,,,6.466e-3,,1.443e+1,2.505e-4
