Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.2e-1),Fe III (1.1e-4),Ni I (7.3e-3),Ni II (2.3e-2),Ni III (7.6e-7)
207.52,7.235e-6,,9.240e-8,7.142e-6,1.128e-18,,
207.54,7.994e-6,,4.008e-7,7.593e-6,1.150e-18,,
207.57,1.969e-5,,5.228e-6,1.447e-5,1.184e-18,,
207.59,5.912e-5,,2.660e-5,3.253e-5,1.206e-18,,
207.62,4.038e-4,,2.657e-4,1.381e-4,1.240e-18,,
207.64,1.486e-3,,1.124e-3,3.619e-4,1.262e-18,,
207.66,5.314e-3,,4.413e-3,9.010e-4,1.285e-18,,
207.69,3.303e-2,,2.991e-2,3.124e-3,1.318e-18,,
207.71,1.042e-1,,9.763e-2,6.543e-3,1.341e-18,,
207.74,5.186e-1,,5.013e-1,1.728e-2,1.375e-18,,
207.76,1.391e+0,,1.360e+0,3.011e-2,1.397e-18,,
207.79,5.354e+0,,5.294e+0,6.028e-2,1.431e-18,,
207.81,1.203e+1,,1.194e+1,8.728e-2,1.453e-18,,
207.84,3.535e+1,,3.522e+1,1.324e-1,1.487e-18,,
207.86,6.618e+1,,6.602e+1,1.593e-1,2.026e-17,,
207.89,1.477e+2,,1.476e+2,1.830e-1,8.873e-16,,
207.91,2.301e+2,,2.300e+2,1.830e-1,1.006e-14,,
207.94,3.896e+2,,3.895e+2,1.593e-1,3.343e-13,,
207.96,5.046e+2,,5.045e+2,1.324e-1,3.153e-12,,
207.99,6.476e+2,,6.475e+2,8.729e-2,7.954e-11,,
208.01,6.973e+2,,6.972e+2,6.028e-2,6.240e-10,,
208.03,6.973e+2,,6.972e+2,3.867e-2,4.549e-9,,
208.06,6.070e+2,,6.069e+2,1.729e-2,7.799e-8,,
208.08,5.045e+2,,5.045e+2,9.216e-3,4.730e-7,,
208.11,3.328e+2,,3.328e+2,3.124e-3,6.154e-6,,
208.13,2.300e+2,,2.300e+2,1.387e-3,3.105e-5,,
208.16,1.150e+2,,1.150e+2,3.644e-4,3.066e-4,,
208.18,6.603e+1,,6.602e+1,1.475e-4,1.287e-3,,
208.21,2.502e+1,,2.501e+1,6.820e-5,9.645e-3,,
208.23,1.198e+1,,1.194e+1,8.799e-5,3.369e-2,,
208.26,3.620e+0,,3.429e+0,1.986e-4,1.916e-1,,
208.28,1.918e+0,,1.361e+0,3.430e-4,5.567e-1,,
208.31,2.701e+0,,2.975e-1,7.101e-4,2.402e+0,1.894e-18,
208.33,5.911e+0,,1.017e-1,1.071e-3,5.809e+0,2.370e-17,
208.36,1.906e+1,,3.255e-2,1.758e-3,1.902e+1,9.151e-16,
208.38,3.831e+1,,4.341e-2,2.247e-3,3.827e+1,9.538e-15,
208.4,7.161e+1,,9.018e-2,2.679e-3,7.152e+1,9.240e-14,
208.43,1.595e+2,,2.981e-1,3.055e-3,1.592e+2,2.428e-12,
208.45,2.482e+2,,6.692e-1,3.049e-3,2.475e+2,1.959e-11,
208.48,4.204e+2,,2.296e+0,2.660e-3,4.181e+2,3.911e-10,
208.5,5.461e+2,,5.212e+0,2.225e-3,5.409e+2,2.627e-9,
208.53,7.103e+2,,1.700e+1,1.512e-3,6.933e+2,3.985e-8,
208.55,7.816e+2,,3.539e+1,1.105e-3,7.462e+2,2.229e-7,
208.58,8.212e+2,,9.527e+1,7.048e-4,7.259e+2,2.569e-6,
208.6,8.199e+2,,1.699e+2,5.931e-4,6.501e+2,1.196e-5,
208.63,8.347e+2,,3.548e+2,6.163e-4,4.799e+2,1.048e-4,
208.65,8.878e+2,,5.303e+2,7.132e-4,3.576e+2,4.063e-4,
208.68,1.046e+3,,8.455e+2,8.923e-4,2.003e+2,2.704e-3,
208.7,1.178e+3,,1.053e+3,9.884e-4,1.242e+2,8.730e-3,
208.73,1.330e+3,,1.277e+3,1.048e-3,5.280e+1,4.414e-2,
208.75,1.352e+3,,1.324e+3,1.026e-3,2.723e+1,1.187e-1,
208.77,1.290e+3,,1.277e+3,9.643e-4,1.305e+1,2.965e-1,
208.8,1.058e+3,,1.053e+3,8.429e-4,3.770e+0,1.021e+0,
208.82,8.482e+2,,8.446e+2,7.814e-4,1.503e+0,2.123e+0,
